,content,sentiment
772,"Tolong untuk fotonya di tingkatkan lagi kualitas nya, masa iya hasil foto kameranya jadi burik bgt, kayanya downgrade dari aplikasinya deh ... Beda sama hasil kamera bawaan",0
939,"Aplikasi tidak bisa berjalan di HP ram 6/128 dgn sinyal yg bagus entah apa masalahnya apakah ada yg salah dalam codingan atau apa di aplikasi ini, terus berputar² pd aplikasi",-1
760,"Tolong untuk admin di perbaiki app nya, karena di hp Tecno pova4 tidak bisa masuk. Keterangan nya gagal mendapatkan kunci digital. Tolong agar bisa segera di perbaiki karena ini menyangkut kerja kami PPS untuk membintek KPPS.",-1
962,"Tolong perbaiki aplikasinya.. Mau log in aja sulit, harus sinyal kuat. Apakabar sodara2 kita nanti di pelosok kalau mau pakai aplikasinya pasti sangat terkendala",-1
438,"Aplikasinya ribet susah , udah diganti sandi pake sidik jari , pake muka tetep gak bisa . Sudah diuninstal ttp aja gak bisa masuk. Mohon untuk lebih dipermudah agar bisa membantu dan tidak menyusahkan",-1
895,Mungkin hanya hp saya saja yg selalu gagal mendapat sertifikat digital nya. Setelah login test semua settingna perizinan sudah saya aktifkan tapi stack di loading an setelah submit.,1
937,"Untuk sekedar login simulasi test kpu saja ga mampu, Apa yg akan trjadi saat penggunaan di tgl 14 februari, yg pasti se indonesia raya mengakses aplikasi ini. Tolong lah pemerintah agar menyediakan aplikasi yg bener bener kompeten dan servernya ok🙏",-1
912,"Baru download tgl 27 Januari 2024....tapi sekarang malah gak bisa dibuka. Muncul tulisan : ""Aplikasi versi ini sudah tidak dapat digunakan"" dan tidak bisa di-update pula aplikasinya Gimana sih ini????",-1
972,"aplikasinya kok tidak bisa di gunakan, ketika di buka muncul tulisan aplikasi versi ini sudah tidak dapat digunakan lagi. tolong lebih di perhatikan lagi, aplikasi sepenting ini kok gak berguna dengan baik.",0
952,Di upgrade dan diinstal ulang keterangan versi ini sudah tidak digunakan. Terus versi yang mana yg bisa d gunakan. Mau simulasi tapi aplikasi begini🤣🤣🤣🤣,-1
905,"Pemilu sudah di depan mata. Seharusnya di hari hari penting menunju pemilu seperti ini, segala persiapan sudah siap. Sungguh disayangkan aplikasi sepenting ini masih sering down dan masih terus melalui tahap pembaruan dimana seharusnya sudah bisa diepersiaapakan jauh jauh hari.",-1
998,"Aplikasi msih belum siap.. Server tidak memadai.. Sering eror dn tak bisa login, apalagi kondisi di Desa yg sulit sinyal....",-1
734,Kemarin bisa di buka...eh sekarang coba di buka lagi keterangannya versi aplikasi sudah tidak dpt di gunakan...tolonglah IT sirekap sempurnakan aplikasi nya !!!,-1
849,Rumornya pas pakai HP merk Samsung ndabisa ya ? Pun secara spesifikasi sudah sesuai requeirement. Sekelas KPU masak ndabisa buat aplikasi yang user friendly dan handal ? Apa servernya kuat ngehandle user sirekap se-Indonesia ? Bikin susah apa malah mudah ?,-1
920,"Udah masuk tapi lama prosesnya ujungnya gagal, dan tadi dibuka apknya malah gabisa, versi ini sudah tidak dapat digunakan. Tolong ini kenapa😭",0
269,"Sumpah. Aplikasinya nggak bisa di gunakan. Muncul ""Aplikasi versi ini tidak dapat digunakan"". Padahal udah hapus insatal lagi. Dan update. Juga fersi terbaru. 😣. Mempersulit kerjaan saja.",-1
950,"Sudah update aplikasi nya, tetapi saat inisialisasi lama banget sampai 2-3 menit Terus muncul ""Gagal mendapatkan kunci digital: timeout"" Aplikasi authenticator sudah terinstall juga",-1
590,"Tolong solusinya, akun sirekap saya sudah login pas proses inisiasi malah muncul gagal mendapatkan kunci digital. Udah berkali-kali ganti sandi masih aja tetep sama dari bimtek sampai hari ini. Tolong petunjuknya dong supaya apknya bisa berhasil🙏",0
758,"Menggunakan sebuah aplikasi atau teknologi itu sangat membantu jika versi aplikasinya bagus, klo ini BKN mendukung atau membantu yg ada buat ribet karena versi aplikasinya terlalu jelek blm layak untuk di pakai.",-1
96,"Buruk sekali. Tadi Bimtek, sehararusnya simulasi, belajar cara menggunakan aplikasi SiRekap, ternyata 1 jam loading terus. Sampai pulang belum bisa masuk. Semua peserta operator Sirekap gak ada yg bisa masuk. Setelah lama nunggu malah tulisannya: Terjadi kesalahan saat Inisialisasi aplikasi. Gagal mendapatkan kunci digital: timeout Gagal mendapatkan kunci digital: internal server error. 🤡",-1
381,"Bagaimana kejelasan aplikasi ini, sudah tidak bisa login tiba² aplikasi tidak bisa digunakan, sudah berulang kali uninstal dan instal ttap sama aja, bagaimana kami anak bangsa mnjlankan pemilu sedangkan aplikasinya saja error terus. Mohon di perbaiki lagi waktu sudah sangat mepet, mana belum begitu paham dengan aplikasi ini bagaimana bisa belajar dengan aplikasi tdk bisa login. Terimakasih",-1
875,"Saran untuk pengembang aplikasi ,, tolong tingkat kan lagi sinergi aplikasi sirekap ini, bila perlu bisa di akses lewat Laptop atau komputer,, biar lebih maksimal.. terimakasih",-1
786,"Susah ribet yg di bawah enak untuk atasan ,ngga dapat kode yg salah yg punya data atas tinggal bilang di cek datanya di coba lagi ,sosialisasi harus jauh"" sblum di gunakan apalagi percobaan gini 🥵🥵",0
204,"Aplikasi aneh, jaringan sudah bagus kok malah ada tulisan ""terjadi kesalahan dalam penyiapan perangkat: pastikan Anda terhubung ke jaringan internet"" padahal sudah pakai data seluler dan WiFi tetep aja kayak gitu. Aplikasi belum layak",-1
344,"Tidak bisa dibuka setelah diinstal, sdh di hapus dan diinstal ulang msh tak bisa di buka. Padahal RAM penyimpanan masih cukup. Bahkan beberapa apk lainnya sdh di hapus, namun tdk bisa. Mohon diperbaiki🙏🏿.",0
