,content,score,Year,Month,Day,sentiment,content_token,stemmed,text_string
771,"tolong untuk fotonya di tingkatkan lagi kualitas nya, masa iya hasil foto kameranya jadi burik bgt, kayanya downgrade dari aplikasinya deh ... beda sama hasil kamera bawaan",3,2024,1,26,0,"['tolong', 'fotonya', 'tingkatkan', 'kualitas', 'nya', 'iya', 'hasil', 'foto', 'kameranya', 'burik', 'bgt', 'kayanya', 'downgrade', 'aplikasinya', 'deh', 'beda', 'hasil', 'kamera', 'bawaan']","['tolong', 'foto', 'tingkat', 'kualitas', 'nya', 'iya', 'hasil', 'foto', 'kamera', 'burik', 'bgt', 'kaya', 'downgrade', 'aplikasi', 'deh', 'beda', 'hasil', 'kamera', 'bawa']",tolong foto tingkat kualitas hasil foto kamera burik kaya downgrade aplikasi beda hasil kamera bawa
938,"aplikasi tidak bisa berjalan di hp ram 6/128 dgn sinyal yg bagus entah apa masalahnya apakah ada yg salah dalam codingan atau apa di aplikasi ini, terus berputar² pd aplikasi",1,2024,1,27,-1,"['aplikasi', 'berjalan', 'hp', 'ram', '6', '128', 'dgn', 'sinyal', 'yg', 'bagus', 'yg', 'salah', 'codingan', 'aplikasi', 'berputar²', 'pd', 'aplikasi']","['aplikasi', 'jalan', 'hp', 'ram', '6', '128', 'dgn', 'sinyal', 'yg', 'bagus', 'yg', 'salah', 'codingan', 'aplikasi', 'putar', 'pd', 'aplikasi']",aplikasi jalan sinyal bagus salah codingan aplikasi putar aplikasi
759,"tolong untuk admin di perbaiki app nya, karena di hp tecno pova4 tidak bisa masuk. keterangan nya gagal mendapatkan kunci digital. tolong agar bisa segera di perbaiki karena ini menyangkut kerja kami pps untuk membintek kpps.",2,2024,1,27,-1,"['tolong', 'admin', 'perbaiki', 'app', 'nya', 'hp', 'tecno', 'pova4', 'masuk', 'keterangan', 'nya', 'gagal', 'kunci', 'digital', 'tolong', 'perbaiki', 'kerja', 'pps', 'membintek', 'kpps']","['tolong', 'admin', 'baik', 'app', 'nya', 'hp', 'tecno', 'pova4', 'masuk', 'terang', 'nya', 'gagal', 'kunci', 'digital', 'tolong', 'baik', 'kerja', 'pps', 'membintek', 'kpps']",tolong admin baik tecno pova4 masuk terang gagal kunci digital tolong baik kerja membintek kpps
962,"tolong perbaiki aplikasinya.. mau log in aja sulit, harus sinyal kuat. apakabar sodara2 kita nanti di pelosok kalau mau pakai aplikasinya pasti sangat terkendala",1,2024,1,27,-1,"['tolong', 'perbaiki', 'aplikasinya', 'log', 'in', 'aja', 'sulit', 'sinyal', 'kuat', 'apakabar', 'sodara2', 'pelosok', 'pakai', 'aplikasinya', 'terkendala']","['tolong', 'baik', 'aplikasi', 'log', 'in', 'aja', 'sulit', 'sinyal', 'kuat', 'apakabar', 'sodara2', 'pelosok', 'pakai', 'aplikasi', 'kendala']",tolong baik aplikasi sulit sinyal kuat apakabar sodara2 pelosok pakai aplikasi kendala
436,"aplikasinya ribet susah , udah diganti sandi pake sidik jari , pake muka tetep gak bisa . sudah diuninstal ttp aja gak bisa masuk. mohon untuk lebih dipermudah agar bisa membantu dan tidak menyusahkan",1,2024,1,27,-1,"['aplikasinya', 'ribet', 'susah', 'udah', 'diganti', 'sandi', 'pake', 'sidik', 'jari', 'pake', 'muka', 'tetep', 'gak', 'diuninstal', 'ttp', 'aja', 'gak', 'masuk', 'mohon', 'dipermudah', 'membantu', 'menyusahkan']","['aplikasi', 'ribet', 'susah', 'udah', 'ganti', 'sandi', 'pake', 'sidik', 'jari', 'pake', 'muka', 'tetep', 'gak', 'diuninstal', 'ttp', 'aja', 'gak', 'masuk', 'mohon', 'mudah', 'bantu', 'susah']",aplikasi ribet susah udah ganti sandi pake sidik jari pake muka tetep diuninstal masuk mohon mudah bantu susah
894,mungkin hanya hp saya saja yg selalu gagal mendapat sertifikat digital nya. setelah login test semua settingna perizinan sudah saya aktifkan tapi stack di loading an setelah submit.,5,2024,1,27,1,"['hp', 'yg', 'gagal', 'sertifikat', 'digital', 'nya', 'login', 'test', 'settingna', 'perizinan', 'aktifkan', 'stack', 'loading', 'an', 'submit']","['hp', 'yg', 'gagal', 'sertifikat', 'digital', 'nya', 'login', 'test', 'settingna', 'izin', 'aktif', 'stack', 'loading', 'an', 'submit']",gagal sertifikat digital login test settingna izin aktif stack loading submit
936,"untuk sekedar login simulasi test kpu saja ga mampu, apa yg akan trjadi saat penggunaan di tgl 14 februari, yg pasti se indonesia raya mengakses aplikasi ini. tolong lah pemerintah agar menyediakan aplikasi yg bener bener kompeten dan servernya ok🙏",1,2024,1,27,-1,"['sekedar', 'login', 'simulasi', 'test', 'kpu', 'ga', 'yg', 'trjadi', 'penggunaan', 'tgl', '14', 'februari', 'yg', 'indonesia', 'raya', 'mengakses', 'aplikasi', 'tolong', 'pemerintah', 'menyediakan', 'aplikasi', 'yg', 'bener', 'bener', 'kompeten', 'servernya', 'ok']","['dar', 'login', 'simulasi', 'test', 'kpu', 'ga', 'yg', 'trjadi', 'guna', 'tgl', '14', 'februari', 'yg', 'indonesia', 'raya', 'akses', 'aplikasi', 'tolong', 'perintah', 'sedia', 'aplikasi', 'yg', 'bener', 'bener', 'kompeten', 'servernya', 'ok']",login simulasi test trjadi guna februari indonesia raya akses aplikasi tolong perintah sedia aplikasi bener bener kompeten servernya
911,"baru download tgl 27 januari 2024....tapi sekarang malah gak bisa dibuka. muncul tulisan : ""aplikasi versi ini sudah tidak dapat digunakan"" dan tidak bisa di-update pula aplikasinya gimana sih ini????",1,2024,1,27,-1,"['download', 'tgl', '27', 'januari', 'gak', 'dibuka', 'muncul', 'tulisan', 'aplikasi', 'versi', 'update', 'aplikasinya', 'gimana', 'sih']","['download', 'tgl', '27', 'januari', 'gak', 'buka', 'muncul', 'tulis', 'aplikasi', 'versi', 'update', 'aplikasi', 'gimana', 'sih']",download januari buka muncul tulis aplikasi versi update aplikasi gimana
972,"aplikasinya kok tidak bisa di gunakan, ketika di buka muncul tulisan aplikasi versi ini sudah tidak dapat digunakan lagi. tolong lebih di perhatikan lagi, aplikasi sepenting ini kok gak berguna dengan baik.",3,2024,1,27,0,"['aplikasinya', 'buka', 'muncul', 'tulisan', 'aplikasi', 'versi', 'tolong', 'perhatikan', 'aplikasi', 'sepenting', 'gak', 'berguna']","['aplikasi', 'buka', 'muncul', 'tulis', 'aplikasi', 'versi', 'tolong', 'perhati', 'aplikasi', 'penting', 'gak', 'guna']",aplikasi buka muncul tulis aplikasi versi tolong perhati aplikasi penting guna
952,di upgrade dan diinstal ulang keterangan versi ini sudah tidak digunakan. terus versi yang mana yg bisa d gunakan. mau simulasi tapi aplikasi begini🤣🤣🤣🤣,1,2024,1,27,-1,"['upgrade', 'diinstal', 'ulang', 'keterangan', 'versi', 'versi', 'yg', 'd', 'simulasi', 'aplikasi']","['upgrade', 'diinstal', 'ulang', 'terang', 'versi', 'versi', 'yg', 'd', 'simulasi', 'aplikasi']",upgrade diinstal ulang terang versi versi simulasi aplikasi
